doi,field,crossref,openalex,s2,label
10.1017/nlp.2024.10,authors,Antonio Jesús Tamayo-Herrera; Diego A. Burgos; Alexander Gelbukh,Antonio Tamayo; Diego A. Burgos; Alexander Gelbukh,Antonio Jesús Tamayo-Herrera; Diego A. Burgos; Alexander Gelbukh,variant
10.1017/nlp.2024.28,year,2025,2024,2024,variant
10.1017/nlp.2024.28,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.1093/bjrai/ubaf010,journal,BJR|Artificial Intelligence,BJR|Artificial Intelligence,BJR Artificial Intelligence,variant
10.1093/bjrai/ubaf010,authors,Reza Khanmohammadi; Mohammad M Ghassemi; Kyle Verdecchia; Ahmed I Ghanem; Bing Luo; Indrin J Chetty; Hassan Bagher-Ebadian; Farzan Siddiqui; Mohamed Elshaikh; Benjamin Movsas; Kundan Thind,Reza Mohammadi; Mohammad M. Ghassemi; Kyle Verdecchia; A.I. Ghanem; Bing Luo; Indrin J. Chetty; Hassan Bagher-Ebadian; Farzan Siddiqui; Mohamed A. Elshaikh; Benjamin Movsas; Kundan Thind,Reza Khanmohammadi; M.M. Ghassemi; K. Verdecchia; A. Ghanem; Bing Luo; I.J. Chetty; H. Bagher-Ebadian; Farzan Siddiqui; Mohamed Elshaikh; Benjamin Movsas; Kundan Thind,variant
10.1017/nlp.2024.33,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.4018/978-1-7998-0951-7.ch056,year,2020,2019,2020,variant
10.4018/978-1-7998-0951-7.ch056,authors,Eya Boukchina; Sehl Mellouli; Emna Menif,Eya Boukchina; Sehl Mellouli; Emna Menif,Eya Boukchina; Sehl Mellouli; E. Menif,variant
10.1182/blood-2023-184756,authors,Arash Maghsoudi; Emily Zhou; Danielle Guffey; Shengling Ma; Xiangjun Xiao; Bo Peng; Christopher I Amos; Abiodun O. Ouyomi; Javad Razjouyan; Ang Li,Arash Maghsoudi; Emily Zhou; Danielle Guffey; Shengling Ma; Xiangjun Xiao; Bo Peng; Christopher I. Amos; Abiodun O. Ouyomi; Javad Razjouyan; Ang Li,A. Maghsoudi; Emily Zhou; Danielle Guffey; Shengling Ma; Xiangjun Xiao; Bo Peng; Christopher I. Amos; Abiodun O. Ouyomi; Javad Razjouyan; Ang Li,variant
10.2118/216514-ms,journal,ADIPEC,,"Day 3 Wed, October 04, 2023",substantive
10.2118/216514-ms,authors,M. V. G. Jacinto; M. A. Silva; L. H. L. de Oliveira; D. R. Medeiros; G. C. de Medeiros; T. C. Rodrigues; L. C. de Montalvão; R. V. de Almeida,Marcos Vinícius Gomes Jacinto; M. A. Silva; L. H. L. de Oliveira; David R. Medeiros; G. C. de Medeiros; T. C. Rodrigues; L. C. de Montalvão; Rafael Valladares de Almeida,M. Jacinto; M. A. Silva; L. H. L. De Oliveira; D. R. Medeiros; G. D. De Medeiros; T. C. Rodrigues; L. C. De Montalvão; R. V. de Almeida,variant
10.23887/janapati.v13i3.82462,authors,Wowon Priatna; Irwan Sembiring; Adi Setiawan; Iwan Iwan Setyawan,Wowon Priatna; Irwan Sembiring; Adi Setiawan; Iwan Setyawan,Wowon Priatna; Irwan Sembiring; Adi Setiawan; Iwan Iwan Setyawan,variant
10.3390/electronics13193876,authors,Isidoros Perikos; Spyro Souli,Isidoros Perikos; Spyro Souli,I. Perikos; Spyro Souli,variant
10.36548/jiip.2025.2.005,authors,Dvijesh Bhatt; Priyank Thakkar,Dvijesh Bhatt; Priyank Thakkar,Dvijesh Bhatt; P. Thakkar,variant
10.32628/ijsrset25122197,year,2025,2025,2024,variant
10.32628/ijsrset25122197,journal,"International Journal of Scientific Research in Science, Engineering and Technology",International Journal of Scientific Research in Science Engineering and Technology,"International Journal of Scientific Research in Science, Engineering and Technology",variant
10.1017/nlp.2024.56,year,2025,2024,2024,variant
10.1017/nlp.2024.56,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.1259/bjr.20220769,journal,The British Journal of Radiology,British Journal of Radiology,The British journal of radiology,variant
10.1259/bjr.20220769,pages,,20220769-20220769,"
          20220769
        ",variant
10.1259/bjr.20220769,authors,Eric Yang; Matthew D Li; Shruti Raghavan; Francis Deng; Min Lang; Marc D Succi; Ambrose J Huang; Jayashree Kalpathy-Cramer,Eric Yang; Matthew Li; Shruti Raghavan; Francis Deng; Min Lang; Marc D. Succi; Ambrose J. Huang; Jayashree Kalpathy-Cramer,Eric Yang; Matthew D. Li; Shruti Raghavan; F. Deng; M. Lang; M. Succi; A. Huang; Jayashree Kalpathy-Cramer,variant
10.4018/978-1-7998-7728-8.ch007,journal,Advances in Computational Intelligence and Robotics,Advances in computational intelligence and robotics book series,Advances in Computational Intelligence and Robotics,variant
10.3390/app13063594,authors,Rodrigo Alfaro; Héctor Allende-Cid; Héctor Allende,Rodrigo Alfaro; Héctor Allende‐Cid; Héctor Allende,R. Alfaro; H. Allende-Cid; H. Allende,variant
10.1093/oxfordhb/9780199573691.013.005,authors,Constantin Orasan; Ruslan Mitkov,Constantin Orǎsan; Ruslan Mitkov,Constantin Orasan; R. Mitkov,variant
10.3384/ecp211010,authors,Sarah Löber; Björn Rudzewitz; Daniela Verratti Souto; Luisa Ribeiro-Flucht; Xiaobin Chen,Sarah Löber; Björn Rudzewitz; Daniela Verratti Souto; Luisa Ribeiro-Flucht; Xiaobin Chen,Sarah Löber; Björn Rudzewitz; Daniela Souto; Luisa Ribeiro-Flucht; Xiaobin Chen,variant
10.4018/978-1-7998-4240-8.ch003,year,2021,2020,2021,variant
10.4018/978-1-7998-4240-8.ch003,journal,Advances in Business Information Systems and Analytics,Advances in business information systems and analytics book series,,substantive
10.4018/978-1-7998-4240-8.ch003,authors,Gunjan Ansari; Shilpi Gupta; Niraj Singhal,Gunjan Ansari; Shilpi Gupta; Niraj Singhal,Gunjan Ansari; Shilpi Gupta; N. Singhal,variant
10.4018/978-1-7998-4240-8.ch002,year,2021,2020,2021,variant
10.4018/978-1-7998-4240-8.ch002,journal,Advances in Business Information Systems and Analytics,Advances in business information systems and analytics book series,,substantive
10.1017/9781009070447,journal,,Cambridge University Press eBooks,,substantive
10.1093/oxfordhb/9780199573691.013.46,authors,Kevin Bretonnel Cohen,Kevin Bretonnel Cohen,K. Cohen,variant
10.1017/nlp.2024.63,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.1017/nlp.2024.63,authors,Arif Görkem Özer; Recep Firat Cekinel; Ismail Hakki Toroslu; Pinar Karagoz,Arif Görkem Özer; Recep Fırat Çekinel; İsmail Hakkı Toroslu; Pınar Karagöz,A. Özer; R. Çekinel; I. H. Toroslu; Pinar Karagoz,variant
10.1017/nlp.2024.51,year,2025,2024,2024,variant
10.1017/nlp.2024.51,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.4018/978-1-7998-1159-6.ch011,year,2020,2019,2020,variant
10.4018/978-1-7998-1159-6.ch011,journal,Advances in Computer and Electrical Engineering,Advances in computer and electrical engineering book series,Advances in Computer and Electrical Engineering,variant
10.4018/978-1-7998-1159-6.ch011,authors,Sumathi S.; Rajkumar S.; Indumathi S.,S. Sumathi; S. Rajkumar; S. Indumathi,S. S.; R. S.; I. S,variant
10.1145/3587266,pages,1-11,1-11,1 - 11,variant
10.1177/14604582221131198,authors,Allard W Olthof; Peter MA van Ooijen; Ludo J Cornelissen,A Olthof; Peter M. A. van Ooijen; L. J. Cornelissen,A. Olthof; P. V. van Ooijen; L. Cornelissen,variant
10.4018/978-1-7998-7728-8.ch009,journal,Advances in Computational Intelligence and Robotics,Advances in computational intelligence and robotics book series,Advances in Computational Intelligence and Robotics,variant
10.4018/978-1-7998-7728-8.ch009,authors,Jayashree Rajesh; Priya Chitti Babu,J. S. Rajesh; Priya Chitti Babu,J. Rajesh; P. C. Babu,variant
10.5121/csit.2021.112305,authors,Ishika Godage; Ruvan Weerasignhe; Damitha Sandaruwan,Ishika Godage; Ruvan Weerasignhe; Damitha Sandaruwan,Ishika Godage; Ruvan Weerasignhe; D. Sandaruwan,variant
10.1017/nlp.2025.10007,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.1017/nlp.2025.10007,authors,Robert Dale,Robert Dale,R. Dale,variant
10.4018/978-1-7998-4240-8.ch010,year,2021,2020,2021,variant
10.4018/978-1-7998-4240-8.ch010,journal,Advances in Business Information Systems and Analytics,Advances in business information systems and analytics book series,Advances in Business Information Systems and Analytics,variant
10.4018/978-1-7998-4240-8.ch010,authors,Matthias Hölscher; Rudiger Buchkremer,Matthias Hölscher; Rüdiger Buchkremer,Matthias Hölscher; Rüdiger Buchkremer,variant
10.11591/ijai.v13.i3.pp3466-3477,journal,IAES International Journal of Artificial Intelligence (IJ-AI),IAES International Journal of Artificial Intelligence,IAES International Journal of Artificial Intelligence (IJ-AI),variant
10.11591/ijai.v13.i3.pp3466-3477,authors,Jayanth Chikkarangaiah; Adarsh Uday; David De Hilster; Shobha Gangadhar; Jyoti Shetty,Jayanth Chikkarangaiah; Adarsh Uday; David de Hilster; G. Shobha; Jyoti Shetty,Jayanth Chikkarangaiah; Adarsh Uday; David De Hilster; Shobha Gangadhar; Jyoti Shetty,variant
10.1101/2021.04.27.21256212,authors,Fabienne Krauer; Boris V. Schmid,Fabienne Krauer; Boris V. Schmid,F. Krauer; Boris V. Schmid,variant
10.7763/ijet.2023.v15.1243,authors,Yanyan Chen; Li Lin; Zihan Gong; Wenwen Tan,Yanyan Chen; Lin Li; Zihan Gong; Wenwen Tan,Yanyan Chen; Li Lin; Zihan Gong; Wenwen Tan,variant
10.55529/jlls.26.7.10,authors,Dr. Meghna Jain,Meghna Jain,Dr. Meghna Jain,variant
10.5121/csit.2023.130817,authors,Mohammud Shaad Ally Toofanee; Nabeelah Zainab Ally Pooloo; Sabeena Dowlut; Karim Tamine; Damien Sauveron,Mohammud Shaad Ally Toofanee; Nabeelah Pooloo; Sabeena Dowlut; Karim Tamine; Damien Sauveron,Mohammud Shaad Ally Toofanee; Nabeelah Pooloo; Sabeena Dowlut; K. Tamine; D. Sauveron,variant
10.32628/cseit217688,journal,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",International Journal of Scientific Research in Computer Science Engineering and Information Technology,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",variant
10.1049/ipr2.13315,title,Bootstrapping vision–language transformer for monocular 3D visual grounding,Bootstrapping vision–language transformer for monocular 3D visual grounding,Bootstrapping vision-language transformer for monocular 3D visual grounding,variant
10.1049/ipr2.13315,journal,IET Image Processing,IET Image Processing,IET Image Process.,variant
10.31219/osf.io/zrbd4,authors,SDAG Lab,SDAG Lab,S. Lab,variant
10.1075/nlp.14.11dan,title,"Computational representation of FrameNet for multilingual natural
								language generation",Computational representation of FrameNet for multilingual naturallanguage generation,Chapter 11. Computational representation of FrameNet for multilingual natural language generation*,variant
10.1075/nlp.14.11dan,authors,Dana Dannélls; Normunds Grūzītis,Dana Dannélls; Normunds Grūzītis,Dana Dannélls; Normunds Gruzitis,variant
10.4018/978-1-7998-7728-8.ch006,journal,Advances in Computational Intelligence and Robotics,Advances in computational intelligence and robotics book series,Advances in Computational Intelligence and Robotics,variant
10.4018/978-1-7998-7728-8.ch006,authors,Belsini Glad Shiya V.; Sharmila K.,Belsini Glad Shiya V.; K. Sharmila,V Belsini Glad Shiya; K. Sharmila,variant
10.18543/ced.2477,authors,Itziar Gonzalez-Dios; Begoña Altuna,Itziar González-Dios; Begoña Altuna,Itziar Gonzalez-Dios; Begoña Altuna,variant
10.1049/ipr2.13076,title,Pre‐trained low‐light image enhancement transformer,Pre‐trained low‐light image enhancement transformer,Pre-trained low-light image enhancement transformer,variant
10.1049/ipr2.13076,journal,IET Image Processing,IET Image Processing,IET Image Process.,variant
10.69894/20190219,journal,Oil Information Technology Journal,Oil IT Journal.,Oil Information Technology Journal,substantive
10.69894/20190219,authors,Neil McNaughton,Neil McNaughton,N. McNaughton,variant
10.4000/books.aaccademia.7420,title,UNITOR @ DANKMEMES: Combining Convolutional Models and Transformer-based architectures for accurate MEME management,UNITOR @ DANKMEMES: Combining Convolutional Models and Transformer-based architectures for accurate MEME management,UNITOR @ DANKMEME: Combining Convolutional Models and Transformer-based architectures for accurate MEME management,variant
10.4000/books.aaccademia.7420,journal,"EVALITA Evaluation of NLP and Speech Tools for Italian - December 17th, 2020",Accademia University Press eBooks,"EVALITA Evaluation of NLP and Speech Tools for Italian - December 17th, 2020",substantive
10.4000/books.aaccademia.7420,authors,Claudia Breazzano; Edoardo Rubino; Danilo Croce; Roberto Basili,Claudia Breazzano; Edoardo Rubino; Danilo Croce; Roberto Basili,Claudia Breazzano; E. Rubino; D. Croce; R. Basili,variant
10.1002/9781118784235.eelt0422,title,Natural Language Processing and Intelligent Computer‐Assisted Language Learning (<scp>ICALL</scp>),Natural Language Processing and Intelligent Computer‐Assisted Language Learning (<scp>ICALL</scp>),Natural Language Processing and Intelligent Computer‐Assisted Language Learning (ICALL),variant
10.1002/9781118784235.eelt0422,journal,The TESOL Encyclopedia of English Language Teaching,The TESOL Encyclopedia of English Language Teaching,,substantive
10.5121/csit.2025.151807,authors,Mark Temple-Raston,M. Temple-Raston,M. Temple-Raston,variant
10.1055/s-0043-1768752,pages,244-252,244-252,244 - 252,variant
10.1055/s-0043-1768752,authors,Cyril Grouin; Natalia Grabar,Cyril Grouin; Natalia Grabar; Section Editors for the IMIA Yearbook Section on Natural Language Processing,Cyril Grouin; Natalia Grabar,variant
10.5121/ijnlc.2023.12401,journal,International Journal on Natural Language Computing,International Journal on Natural Language Computing,ArXiv,substantive
10.5121/ijnlc.2023.12401,volume,12,12,abs/2308.16615,substantive
10.5121/ijnlc.2023.12401,authors,Lossan Bonde; Severin Dembele,Lossan Bondé; Severin Dembele,Lossan Bonde; Severin Dembele,variant
10.31449/inf.v46i7.4247,journal,Informatica,Informatica,Informatica (Slovenia),substantive
10.54691/bcpbm.v38i.4198,journal,BCP Business &amp; Management,BCP Business & Management,BCP Business &amp; Management,variant
10.52783/jes.6788,authors,Deepa Shukla,Deepa Shukla,Dr Deepa Shukla; Dr. Sunil Gupta,variant
10.7494/dmms.2020.14.2.4379,authors,Bartłomiej Gaweł; Andrzej Paliński,Bartłomiej Gaweł; Andrzej Paliński,B. Gaweł; Andrzej Paliński,variant
10.62517/jel.202414505,journal,Journal of Economics and Law,Journal of economics and law.,Journal of Economics and Law,variant
10.47473/2020rmm0081,title,Artificial Intelligence: the Application of Machine Learning and Predictive Analytics in  Credit Risk,Artificial Intelligence: the Application of Machine Learning and Predictive Analytics in Credit Risk,Artificial Intelligence: the Application of Machine Learning and Predictive Analytics in Credit Risk,variant
10.47473/2020rmm0081,journal,Risk Management Magazine,Risk Management Magazine,,substantive
10.47473/2020rmm0081,authors,Stefano Bonini; Giuliana Caivano,Stefano Bonini; Giuliana Caivano; Giuliana Caivano; Accenture,S. Bonini; Cerved; Giulia Caivano,variant
10.36948/ijfmr.2025.v07i02.43331,authors,Vishali G; Elaiyaraja A,G Vishali; A Elaiyaraja,V. G; E. A,variant
10.37394/23201.2022.21.12,authors,Zaynab Hjouji; Mohamed M’hamdi,Zaynab Hjouji; Mohamed M’hamdi,Zaynab Hjouji; M. M’hamdi,variant
10.54254/2754-1169/46/20230356,journal,"Advances in Economics, Management and Political Sciences",Advances in Economics Management and Political Sciences,"Advances in Economics, Management and Political Sciences",variant
10.2478/cait-2024-0034,pages,22-44,22-44,22 - 44,variant
10.2478/cait-2024-0034,authors,Umangbhai Soni; Gordhan Jethava; Amit Ganatra,Umang Soni; Gordhan Jethava; Amit Ganatra,Umangbhai Soni; Gordhan Jethava; A. Ganatra,variant
10.3390/jrfm18090520,authors,Garnik Arakelyan; Armen Ghazaryan,Garnik Arakelyan; ARMEN GHAZARYAN,Garnik Arakelyan; A. Ghazaryan,variant
10.1515/jisys-2018-0058,year,2019,2018,2018,variant
10.1515/jisys-2018-0058,pages,640-652,640-652,640 - 652,variant
10.48001/joitml.2024.1219-23,journal,Journal of IoT and Machine Learning,Journal of IoT and Machine Learning.,Journal of IoT and Machine Learning,variant
10.47473/2020rmm0108,authors,Paolo Di Biasi; Rita Gnutti; Andrea Resti; Daniele Vergari,Paolo Di Biasi; Rita Gnutti; Andrea Resti; Daniele Vergari; Andrea Resti; Daniele Vergari; Crif,Paolo Di Biasi; Rita Gnutti; Andrea Resti; D. Vergari,variant
10.47363/jaicc/2024(3)275,journal,Journal of Artificial Intelligence &amp; Cloud Computing,Journal of Artificial Intelligence & Cloud Computing,Journal of Artificial Intelligence &amp; Cloud Computing,variant
10.47363/jaicc/2024(3)275,authors,Reshma Sudra,Reshma Sudra; Reshma Sudra,Reshma Sudra,variant
10.37394/23202.2024.23.4,authors,C. L. Perera; S. C. Premaratne,Carmen Laura Perera; S. C. Premaratne,C. Perera; S. Premaratne,variant
10.54691/bcpbm.v23i.1470,journal,BCP Business &amp; Management,BCP Business & Management,BCP Business &amp; Management,variant
10.4018/ijitsa.324067,journal,International Journal of Information Technologies and Systems Approach,International Journal of Information Technologies and Systems Approach,Int. J. Inf. Technol. Syst. Approach,substantive
10.1186/s40854-022-00366-1,authors,Andrés Alonso Robisco; José Manuel Carbó Martínez,Andrés Alonso-Robisco; José Manuel Carbó Martínez,Andrés Alonso Robisco; José Manuel Carbó Martínez,variant
10.65301/iitm.2023.14.2.438,title,Articial Intelligence &amp;amp; Machine Learning Models for Credit Scoring and Risk Management,Articial Intelligence &amp;amp; Machine Learning Models for Credit Scoring and Risk Management,Articial Intelligence & Machine Learning Models for Credit Scoring and Risk Management,variant
10.1111/risa.17679,year,2025,2024,2024,variant
10.1111/risa.17679,pages,4135-4156,4135-4156,4135 - 4156,variant
10.1111/risa.17679,authors,Yujia Chen; Raffaella Calabrese; Belen Martin‐Barragan,Yujia Chen; Raffaella Calabrese; Belén Martín-Barragán,Yujia Chen; Raffaella Calabrese; Belén Martín-Barragán,variant
10.47363/jaicc/2022(1)e102,journal,Journal of Artificial Intelligence &amp; Cloud Computing,Journal of Artificial Intelligence & Cloud Computing,Journal of Artificial Intelligence &amp; Cloud Computing,variant
10.47363/jaicc/2022(1)e102,authors,Goutham Sabbani,Goutham Sabbani; MSc FinTech (UK),Goutham Sabbani,variant
10.1007/s44176-025-00043-4,authors,Jacob Ford,Jesse Ford,Jacob Ford,variant
10.52783/jes.1807,authors,"Pankaj Malik, Ankita Chourasia, Rakesh Pandit, Sheetal Bawane, Jayesh Surana",Ankita Chourasia Pankaj Malik,"Pankaj Malik, Ankita Chourasia, Rakesh Pandit, Sheetal Bawane, Jayesh Surana",variant
10.3390/forecast7030035,authors,Lyne Imene Souadda; Ahmed Rami Halitim; Billel Benilles; José Manuel Oliveira; Patrícia Ramos,Lyne Imene Souadda; Ahmed Rami Halitim; Billel Benilles; José Manuel Oliveira; Patrícia Ramos,Lyne Imene Souadda; Ahmed Rami Halitim; Billel Benilles; J. Oliveira; Patrícia Ramos,variant
10.29303/akurasi.v8i1.662,journal,Akurasi : Jurnal Studi Akuntansi dan Keuangan,Akurasi Jurnal Studi Akuntansi dan Keuangan,Akurasi : Jurnal Studi Akuntansi dan Keuangan,variant
10.3390/jrfm18010023,authors,Rakshith Bhandary; Bidyut Kumar Ghosh,Rakshith Bhandary; Bidyut Kumar Ghosh,Rakshith Bhandary; B. Ghosh,variant
10.5455/jcsi.20241231072950,journal,Journal of Computer Sciences and Informatics,Journal of Computer Sciences and Informatics.,Journal of Computer Sciences and Informatics,variant
10.5455/jcsi.20241231072950,authors,Madiha Madiha; Iban Bukhari; Gul Khan; Sanjai Kumar,Madiha Madiha; Iddrishu Bukhari; Gul Zameen Khan; Sanjai Kumar,M. Madiha; Iban Bukhari; Gul Khan; Sanjai Kumar,variant
10.52174/1829-0280_2022.5-123,authors,ARMEN GHAZARYAN; LIANA GRIGORYAN; GARNIK ARAKELYAN,ARMEN GHAZARYAN; LIANA GRIGORYAN; Garnik Arakelyan,A. Ghazaryan; Liana Grigoryan; Garnik Arakelyan,variant
10.33736/jcsi.4761.2022,authors,Pei Swee Chong; Jane Labadin; Farid Meziane,Pei Swee Chong; Jane Labadin; Farid Meziane,Pei Swee Chong; J. Labadin; F. Meziane,variant
10.33003/fjs-2024-0806-2893,authors,Abba Bello Muhammad; Ishaq O. Olawoyin; Abubakar Yahaya; S. U. Gulumbe; Abdullahi. A. Muhammad; Iliyasu Abubakar Salisu,Abba Bello Muhammad; Ishaq O. Olawoyin; Abubakar Yahaya; S. U. Gulumbe; Arz Muhammad; Iliyasu Abubakar Salisu,Abba Bello Muhammad; I. Olawoyin; Abubakar Yahaya; S. U. Gulumbe; Abdullahi. A. Muhammad; I. Salisu,variant
10.1051/itmconf/20257801017,authors,Han Du; Yang Tang; Jin Tao,Han Du; Yang Tang; Tao Jin,Han Du; Yang Tang; Jindian Tao,variant
10.48175/ijarsct-11139,journal,"International Journal of Advanced Research in Science, Communication and Technology",International Journal of Advanced Research in Science Communication and Technology,"International Journal of Advanced Research in Science, Communication and Technology",variant
10.48175/ijarsct-11139,authors,Sandeep Shinde; Satish Kale,Sandip Shinde; Satish D. Kale,Sandeep Shinde; Satish Kale,variant
10.1007/s44230-023-00035-1,pages,232-243,232-243,232 - 243,variant
10.1007/s44230-023-00035-1,authors,Charles Guan; Hendra Suryanto; Ashesh Mahidadia; Michael Bain; Paul Compton,Charles Guan; Hendra Suryanto; Ashesh Mahidadia; Michael Bain; Paul Compton,Charles Guan; Hendra Suryanto; Ashesh Mahidadia; Michael Bain; P. Compton,variant
10.54254/2755-2721/48/20241332,authors,Xinyu Li,Xinyu Li,Xinyue Li,variant
10.33908/ef.2024.3.1,journal,Economy &amp; finance,Economy & finance,Economy &amp; finance,variant
10.1155/2022/9007140,authors,Mingtao Sun; Ying Li,Sun Mingtao; Ying Li,Mingtao Sun; Ying Li,variant
10.38124/ijisrt/25oct1604,authors,Tsetsegjargal Ulambayar; Otgonsuren Gotov,Tsetsegjargal Ulambayar; Otgonsuren Gotov,Tsetsegjargal Ulambayar; O. Gotov,variant
10.3390/jrfm13080180,journal,Journal of Risk and Financial Management,Journal of risk and financial management,,substantive
10.3390/jrfm13080180,pages,180,180-180,180,variant
10.3390/jrfm13080180,authors,Bernard Dushimimana; Yvonne Wambui; Timothy Lubega; Patrick E. McSharry,Bernard Dushimimana; Yvonne Wambui; Timothy Lubega; Patrick McSharry,Bernard Dushimimana; Yvonne Wambui; T. Lubega; P. McSharry,variant
10.16930/2237-7662202535262,authors,Alex Giovani de Assis; Sonia Rosa Arbues Decoster,Alex Giovani de Assis; Sonia Rosa Arbues Decoster,Alex Giovani de Assis; S. Decoster,variant
10.3390/risks13060116,authors,Nazário Augusto de Oliveira; Leonardo Fernando Cruz Basso,Nazário Augusto de Oliveira; Leonardo Fernando Cruz Basso,Nazário Augusto de Oliveira; L. Basso,variant
10.2478/picbe-2025-0102,journal,Proceedings of the International Conference on Business Excellence,Proceedings of the ... International Conference on Business Excellence,Proceedings of the International Conference on Business Excellence,variant
10.2478/picbe-2025-0102,pages,1294-1308,1294-1308,1294 - 1308,variant
10.2478/picbe-2025-0102,authors,Mohammad Sadegh Salem,Manel Ben Salem,M. S. Salem,variant
10.1142/s0217590825500286,authors,ZHANG YANG; JIANXIONG LIN; YIHE QIAN; LIANJIE SHU,Yang Zhang; Lin Jian-xiong; Yihe Qian; Lianjie Shu,Yang Zhang; Jianxiong Lin; Yihe Qian; Lianjie Shu,variant
10.1051/shsconf/202317003023,authors,Jiankun Hu; Haiji Wang; Xueying Lu,Jiankun Hu; Haiji Wang; Xueying Lu,Jiankun Hu; Haiji Wang; X. Lu,variant
10.30574/ijsra.2024.12.2.1467,authors,Bibitayo Ebunlomo Abikoye; Cedrick Agorbia-Atta,Bibitayo Ebunlomo Abikoye; Cedrick Agorbia-Atta,B. Abikoye; Cedrick Agorbia-Atta; J. Noriega; Luis Antonio Rivera; Jose Alfredo Herrera,variant
10.54254/2755-2721/2025.ld30225,authors,Minxi Mo,Martella Mo,Minxi Mo,variant
10.3390/diagnostics13091532,authors,Sajid Nazir; Mohammad Kaleem,Sajid Nazir; Mohammad Kaleem,S. Nazir; Mohammad Kaleem,variant
10.4018/978-1-5225-6316-7.ch006,year,2019,2018,2019,variant
10.4018/978-1-5225-6316-7.ch006,journal,Advances in Medical Technologies and Clinical Practice,Advances in medical technologies and clinical practice book series,Advances in Medical Technologies and Clinical Practice,variant
10.4018/978-1-5225-6316-7.ch006,authors,R. Meena Prakash; Shantha Selva Kumari R.,Rıshı Prakash; Shantha Selva Kumari R.,R. Prakash; R. Kumari,variant
10.3390/jimaging7040074,authors,Yudong Zhang; Juan Manuel Gorriz; Zhengchao Dong,Yudong Zhang; J. M. Górriz; Zhengchao Dong,Yudong Zhang; J. Górriz; Z. Dong,variant
10.1093/noajnl/vdaa092,pages,iv35-iv41,iv35-iv41,iv35 - iv41,variant
10.1093/noajnl/vdaa092,authors,Benedikt Wiestler; Bjoern Menze,Benedikt Wiestler; Bjoern Menze,B. Wiestler; Bjoern H Menze,variant
10.3389/fmats.2025.1583615,authors,Li Lu; Mingpei Liang,Lu Li; Mingpei Liang,Li Lu; Mingpei Liang,variant
10.54254/2755-2721/41/20230761,authors,Lang Zuo,Lang Zuo,Lan Zuo,variant
10.2174/0115734056261849231207055304,title,"An Evaluation Analysis for Computed Tomography Image Quality of Primary
Liver Cancer Lesions Based on Deep Learning Image Reconstruction",An Evaluation Analysis for Computed Tomography Image Quality of PrimaryLiver Cancer Lesions Based on Deep Learning Image Reconstruction,An Evaluation Analysis for Computed Tomography Image Quality of Primary Liver Cancer Lesions Based on Deep Learning Image Reconstruction.,variant
10.2174/0115734056261849231207055304,journal,Current Medical Imaging Formerly Current Medical Imaging Reviews,Current Medical Imaging Formerly Current Medical Imaging Reviews,Current medical imaging,substantive
10.2174/0115734056261849231207055304,pages,,e15734056261849-e15734056261849,"
          1-6
        ",substantive
10.2174/0115734056261849231207055304,authors,Yan Sun; De-zheng Sun; Chun-Lei Han,Yan Sun; Dezheng Sun; Chunlei Han,Yan Sun; Dezheng Sun; Chunyao Han,variant
10.1142/s0219467822400137,year,2023,2022,2022,variant
10.1142/s0219467822400137,journal,International Journal of Image and Graphics,International Journal of Image and Graphics,Int. J. Image Graph.,substantive
10.1142/s0219467822400137,authors,E. Srinivasa Rao; Ch. Raghava Prasad,E. Sreenivasa Rao; Ch. Raghava Prasad,E. S. Rao; C. Prasad,variant
10.52783/cana.v32.3438,authors,Jihane Ben Slimane,Jihane Ben Slimane,J. B. Slimane; Albia Maqbool; Ahmad Alshammari; Dhouha Choukaier; Mahmoud Salaheldin Elsayed; Rabie Ahmed,variant
10.3389/fpubh.2023.1273253,authors,Mengfang Li; Yuanyuan Jiang; Yanzhou Zhang; Haisheng Zhu,Mengfang Li; Yuanyuan Jiang; Yanzhou Zhang; Zhu Haisheng,Mengfang Li; Yuanyuan Jiang; Yanzhou Zhang; Haisheng Zhu,variant
10.18178/joig.12.3.215-227,authors,Ali H. Abdulwahhab; Noof T. Mahmood; Ali Abdulwahhab Mohammed; Indrit Myderrizi; Mustafa Hamid Al-Jumaili,Ali H. Abdulwahhab; Noof T. Mahmood; Ali H. Abdulwahhab; Indrıt Myderrizi; Mustafa Hamid Al-Jumaili,A. Abdulwahhab; Noof T. Mahmood; Ali Abdulwahhab Mohammed; I. Myderrizi; M. AL-Jumaili,variant
10.48175/ijarsct-18408,journal,"International Journal of Advanced Research in Science, Communication and Technology",International Journal of Advanced Research in Science Communication and Technology,"International Journal of Advanced Research in Science, Communication and Technology",variant
10.48175/ijarsct-18408,authors,Sam Sudhakar J; Dr. Krithika. D. R.,Sam Sudhakar J; Krithika. D. R.,Sam Sudhakar J; Dr. Krithika. D. R.,variant
